geneSYM-ensembl,gs-vs-gc log2FC,gs-vs-gc FDR,,,
Limk2,0.030226756,0.739814388,,,
Eif3c,0.030215672,0.688408594,,,
RP24-122N24.2,0.0302084,0.925172542,,,
Creb3l4,0.030166305,NA,,,
RP23-115K1.6,0.030122521,NA,,,
RP23-228O9.1,0.030105906,NA,,,
Stag2,0.030079509,0.757385299,,,
Rasa1,0.030073866,0.799379822,,,
RP24-221A14.2,0.030062347,NA,,,
RP24-343G19.2,0.030062347,NA,,,
RP24-345B5.3,0.030062347,NA,,,
RP24-64C6.3,0.030062347,NA,,,
Sag,0.030062321,NA,,,
Cnot6,0.03004434,0.793909302,,,
RP23-173F3.5,0.030042792,NA,,,
Mtfr1l,0.030037364,0.844608691,,,
Pygo1,0.030027548,NA,,,
CT009708.2,0.030024577,NA,,,
Gja10,0.030024577,NA,,,
Gm23569,0.030024577,NA,,,
Ift88os,0.030024577,NA,,,
Lgals2,0.030024577,NA,,,
Lpl,0.030024577,NA,,,
Mir5099,0.030024577,NA,,,
Mir6399,0.030024577,NA,,,
Mir6905,0.030024577,NA,,,
Mks1,0.030024577,NA,,,
RP23-333I5.6,0.030024577,NA,,,
RP23-46B12.6,0.030024577,NA,,,
RP24-141D20.1,0.030024577,NA,,,
RP24-155O13.2,0.030024577,NA,,,
Scd4,0.030024577,NA,,,
Slc2a2,0.030024577,NA,,,
Vstm5,0.030024577,NA,,,
RP24-78M9.6,0.029973753,NA,,,
AC122789.1,0.0299718,NA,,,
Zswim7,0.029941096,0.915085251,,,
Mir5135,0.029900666,NA,,,
Klf1,0.029893154,NA,,,
Myo15,0.029875037,NA,,,
RP23-386E10.4,0.029869481,NA,,,
RP24-176D22.1,0.029865,NA,,,
RP24-270A10.4,0.029856885,0.880891968,,,
AC122248.2,0.029827415,NA,,,
RP24-483A21.3,0.029827415,NA,,,
Zpbp2,0.029827415,NA,,,
Mrpl27,0.029814106,0.853175813,,,
Itpka,0.029813238,0.923406388,,,
RP23-404A6.2,0.029750911,NA,,,
Gm25803,0.029734941,NA,,,
RP24-258K6.9,0.029734941,NA,,,
Spp2,0.029734941,NA,,,
Lcmt2,0.029727874,0.878476127,,,
RP23-480P21.3,0.02972153,0.910302816,,,
RP24-338G10.2,0.029709796,NA,,,
Ift43,0.029707128,0.845019708,,,
Lmna,0.029697688,0.746530053,,,
RP23-274G21.6,0.029691823,NA,,,
Coq7,0.029688169,0.874389943,,,
Acy1,0.029686656,0.880670032,,,
Gm26624,0.029666471,NA,,,
RP23-404I24.3,0.029666471,NA,,,
Mgat2,0.029659098,0.748632953,,,
Klhl9,0.029656318,0.754799923,,,
RP23-346I1.2,0.029644044,NA,,,
RP23-198J15.1,0.029641478,NA,,,
Scmh1,0.029628581,0.824920356,,,
RP23-216B20.2,0.029596112,NA,,,
RP23-2N7.1,0.029596112,NA,,,
Zfp580,0.029589633,NA,,,
RP23-169J21.3,0.029588275,NA,,,
Mrpl32,0.029582715,0.835471302,,,
Car13,0.029555582,0.813985454,,,
Rnasek,0.029549508,NA,,,
RP23-38P6.1,0.029520152,NA,,,
RP23-140I12.3,0.029512115,NA,,,
Ttyh2,0.029512115,NA,,,
RP23-395B13.2,0.029507219,NA,,,
Msl2,0.029502222,0.821084741,,,
Psmd4,0.029489446,0.731181511,,,
RP23-4P1.5,0.029464417,NA,,,
RP23-479D11.1,0.029444912,NA,,,
RP23-56A14.14,0.029438501,0.923792901,,,
Fars2,0.02943646,0.883552986,,,
Cacnb4,0.029411874,NA,,,
Gm22672,0.029411874,NA,,,
Ctsk,0.029363127,NA,,,
RP24-242N1.1,0.029359198,NA,,,
Zw10,0.029347109,0.831429694,,,
Zhx2,0.029286603,0.868034121,,,
Thra,0.0292768,0.912350309,,,
RP23-212H13.6,0.029253624,NA,,,
RP23-55C8.4,0.029249236,NA,,,
RP23-32H12.2,0.02923083,NA,,,
RP24-94C21.3,0.02921553,NA,,,
Snord71,0.02921553,NA,,,
Mir16-2,0.0292016,NA,,,
Ptcd1,0.029197094,0.861965929,,,
Zfp523,0.029189853,0.90303244,,,
Def8,0.029175246,0.803389951,,,
Snrpa,0.029165262,0.845118267,,,
Gm23296,0.029136931,NA,,,
Slc38a10,0.029124901,0.756397205,,,
RP23-323E20.2,0.029121682,NA,,,
RP23-219K7.4,0.029121545,NA,,,
RP23-32L15.5,0.029121545,NA,,,
Scn2a1,0.029121545,NA,,,
RP23-261G3.5,0.029082079,NA,,,
RP23-20F9.6,0.029076469,NA,,,
RP24-106O24.2,0.029076469,NA,,,
Pitx1,0.02902368,0.796170219,,,
AC110090.1,0.029016987,NA,,,
Slc26a10,0.029,NA,,,
RP23-127O4.6,0.02898184,NA,,,
Add3,0.028953589,0.800143177,,,
Jrk,0.028940028,0.896611451,,,
St14,0.028933027,0.759632023,,,
Rab37,0.028927759,NA,,,
Gm22678,0.028924092,NA,,,
Zfp69,0.028905458,0.929935617,,,
RP23-114A6.7,0.028896641,NA,,,
Nr2f6,0.028895181,0.831801125,,,
RP24-118K20.1,0.028886462,NA,,,
Trpm6,0.028869837,NA,,,
Ccnh,0.028865515,0.867759432,,,
Aqp8,0.028837851,NA,,,
Cdh5,0.028834693,NA,,,
Junos,0.028834693,NA,,,
Prrt2,0.028810958,NA,,,
Cops7b,0.02880258,0.852960669,,,
Klrc2,0.028802201,NA,,,
Ptgis,0.028802201,NA,,,
Slc25a33,0.028796054,0.903851794,,,
Gm25193,0.028787086,NA,,,
Misp,0.028787086,NA,,,
Brcc3,0.028772646,0.851401828,,,
Styxl1,0.028765333,NA,,,
RP23-127O4.8,0.028761742,NA,,,
Tagln,0.028701168,NA,,,
RP23-117I10.1,0.028690696,NA,,,
RP24-366J14.5,0.028690696,NA,,,
AC131065.2,0.028666979,0.753468381,,,
Eif3h,0.028652233,0.720476004,,,
RP24-73O16.3,0.028649933,NA,,,
S100a10,0.028647108,0.746530053,,,
Hnrnpul1,0.028638759,0.785314303,,,
RP23-459L15.7,0.028633042,0.930552536,,,
Iws1,0.028579984,0.776094238,,,
Nr3c2,0.028575817,NA,,,
Dnaaf3,0.028540963,NA,,,
Gm23200,0.028537798,NA,,,
Nlrp12,0.028537798,NA,,,
Prdm6,0.028537798,NA,,,
RP23-375G9.2,0.028537798,NA,,,
RP23-79O10.3,0.028537798,NA,,,
RP23-83G6.5,0.028537798,NA,,,
RP24-182A8.1,0.028537798,NA,,,
RP24-572J18.4,0.028537798,NA,,,
Nkpd1,0.028502722,NA,,,
RP23-223M20.2,0.028502033,0.928236033,,,
Gm25970,0.028490668,NA,,,
RP23-323P11.3,0.028490668,NA,,,
Pdcd6,0.028467623,0.755495209,,,
Uqcrc2,0.028462475,0.757899271,,,
RP23-478A9.4,0.028457724,0.91923752,,,
Sphk2,0.028448663,0.875251504,,,
Stx18,0.02841961,0.86948886,,,
Prpf38a,0.02841923,0.82446624,,,
Osgepl1,0.028359626,0.906807099,,,
RP24-226L18.2,0.028354971,NA,,,
Bend6,0.028346327,NA,,,
Loxl1,0.02829424,NA,,,
Mir7087,0.02829424,NA,,,
RP23-109C16.3,0.02829424,NA,,,
RP24-423I20.1,0.02829424,NA,,,
Cyp2j6,0.028258407,0.875319624,,,
RP24-499H13.4,0.028256305,NA,,,
Stx2,0.028254706,0.882334189,,,
Mmp17,0.028190667,NA,,,
Zfpm2,0.028179524,0.887123138,,,
RP23-23P9.5,0.02816451,NA,,,
H2-Q1,0.028160788,NA,,,
RP24-423J19.3,0.028155279,NA,,,
Zfp281,0.028144223,0.808127979,,,
RP24-145F3.5,0.028140422,NA,,,
Adrm1,0.028126783,0.821084741,,,
RP23-347G20.5,0.028115186,NA,,,
Klhl31,0.028096462,NA,,,
RP24-273K21.7,0.028096462,NA,,,
Tshz3,0.028092452,0.912285827,,,
Tarbp2,0.028078356,0.878364311,,,
Dctn1,0.028069702,0.785345523,,,
RP23-300P20.1,0.02806573,NA,,,
RP24-327D15.11,0.02806342,0.931990907,,,
Pbxip1,0.028045626,NA,,,
mt-Tw,0.028020464,0.930552536,,,
Tomm6,0.028002101,NA,,,
Mrpl17,0.027995058,0.822940728,,,
Smarcal1,0.027993436,0.876564967,,,
Trim65,0.027990515,0.885996045,,,
Psors1c2,0.027979645,NA,,,
Pcdhga8,0.027944629,NA,,,
Pcdhga11,0.027937655,NA,,,
Ecm2,0.027930799,NA,,,
Slc9a8,0.027925842,0.847320871,,,
Xntrpc,0.027917008,NA,,,
Gm10401,0.027916131,NA,,,
Tm6sf2,0.027913464,0.928564907,,,
Psmb6,0.027886291,0.76033123,,,
Arf4os,0.027883816,NA,,,
Lrch4,0.027883816,NA,,,
Mmp25,0.027883816,NA,,,
RP23-225D5.1,0.027883816,NA,,,
RP24-258O12.2,0.027883816,NA,,,
Tspan6,0.027883816,NA,,,
Pdzd9,0.027819819,NA,,,
Stxbp3,0.027817793,0.830202404,,,
RP23-158A20.7,0.027806877,NA,,,
RP23-386F19.2,0.027806877,NA,,,
Ica1,0.027749284,0.909637261,,,
Pigm,0.02774922,0.788770687,,,
Slc12a9,0.027668062,0.893026227,,,
Zscan12,0.027654764,0.903483514,,,
RP23-177J21.15,0.027583205,NA,,,
Rasgrp3,0.027583205,NA,,,
4930480K23Rik,0.027574312,NA,,,
Rps14,0.027526936,0.768934436,,,
Ddb1,0.027514397,0.705311333,,,
Ints14,0.027513578,0.839595093,,,
Il1rl2,0.027496326,0.933673804,,,
Zfp715,0.027466228,0.891565524,,,
N4bp2os,0.027411417,NA,,,
Abcb11,0.027382521,NA,,,
AC119806.2,0.027381582,NA,,,
AC123699.2,0.027381582,NA,,,
Atp1a4,0.027381582,NA,,,
Fgf17,0.027381582,NA,,,
Gm22275,0.027381582,NA,,,
Gm26516,0.027381582,NA,,,
Hoxb13,0.027381582,NA,,,
Mir7038,0.027381582,NA,,,
Mir7115,0.027381582,NA,,,
RP23-132A3.5,0.027381582,NA,,,
RP23-157D19.1,0.027381582,NA,,,
RP23-170A23.2,0.027381582,NA,,,
RP23-227A12.4,0.027381582,NA,,,
RP23-301G2.2,0.027381582,NA,,,
RP23-432M17.6,0.027381582,NA,,,
RP24-120O11.4,0.027381582,NA,,,
RP24-142A23.3,0.027381582,NA,,,
RP24-444I15.2,0.027381582,NA,,,
RP24-490B17.6,0.027381582,NA,,,
Ren1,0.027381582,NA,,,
Sgk2,0.027381582,NA,,,
Myom3,0.027380709,NA,,,
Rgma,0.027359415,0.925005016,,,
Myo1d,0.027348872,0.838002968,,,
RP23-265F20.14,0.027339856,NA,,,
Fbxw8,0.027326158,0.765288882,,,
Pik3c3,0.027291909,0.854581603,,,
Wwtr1,0.02728257,0.826999133,,,
Prl7a1,0.027266675,NA,,,
Bicdl2,0.027266664,NA,,,
RP23-422D12.3,0.027245056,NA,,,
Trappc5,0.027217715,0.852379187,,,
RP24-196M24.2,0.027213258,NA,,,
Dcaf11,0.027205467,0.887241222,,,
RP23-232K16.3,0.027201284,NA,,,
Top3b,0.027169926,0.803242888,,,
RP23-440J24.4,0.027137967,NA,,,
Dnah10,0.027134295,0.928236033,,,
Glud1,0.027112025,0.72383288,,,
Lrrc42,0.027106357,0.878652209,,,
Gm26786,0.027102707,NA,,,
Clasp1,0.027065695,0.789688906,,,
Gabarapl1,0.027061409,0.877419606,,,
Caskin1,0.027056355,NA,,,
Dio3,0.027056355,NA,,,
Ehhadh,0.027056355,NA,,,
Gm24330,0.027056355,NA,,,
Hoxc9,0.027056355,NA,,,
Mir451b,0.027056355,NA,,,
Npy4r,0.027056355,NA,,,
Pnma5,0.027056355,NA,,,
RP23-181D9.3,0.027056355,NA,,,
RP23-181F22.3,0.027056355,NA,,,
RP23-209N14.2,0.027056355,NA,,,
RP23-434L22.2,0.027056355,NA,,,
RP24-183K24.1,0.027056355,NA,,,
RP24-258M24.2,0.027056355,NA,,,
RP24-356D15.2,0.027056355,NA,,,
RP24-531B21.2,0.027056355,NA,,,
RP24-534N1.2,0.027056355,NA,,,
Samsn1,0.027056355,NA,,,
Scarf2,0.027056355,NA,,,
Sfta2,0.027056355,NA,,,
Spem1,0.027056355,NA,,,
Ube2q2,0.027054999,0.831554609,,,
RP24-266P6.8,0.027000335,NA,,,
Lss,0.026988887,0.764577105,,,
Lama4,0.026940538,NA,,,
Proscos,0.026940538,NA,,,
Gnat1,0.026939243,NA,,,
Prr18,0.026928992,NA,,,
Wbscr27,0.026920475,0.912350309,,,
Polr2k,0.026900778,0.919653582,,,
Rsph6a,0.026898424,NA,,,
RP23-78M22.3,0.026873609,NA,,,
Cdk10,0.026871981,0.892359397,,,
Sugp1,0.026861561,0.865779743,,,
RP23-318I19.1,0.02685983,NA,,,
Fsip1,0.026818193,NA,,,
RP24-111C16.1,0.026797168,0.935350059,,,
Rnf224,0.026774265,NA,,,
Des,0.026741216,NA,,,
Gm24016,0.026718365,NA,,,
Fbf1,0.026704985,0.826599044,,,
Gm22059,0.026608074,NA,,,
RP23-67C3.2,0.026608074,NA,,,
Col22a1,0.02659769,NA,,,
Gm23966,0.026582604,NA,,,
Kdm1b,0.026576481,0.823618711,,,
Kcnk4,0.026564627,NA,,,
RP23-296K20.1,0.026557233,NA,,,
Dnaaf5,0.026547237,0.845463913,,,
RP23-49O17.4,0.026544002,0.934452782,,,
RP23-230F2.8,0.026530644,NA,,,
Gm26049,0.026527409,NA,,,
RP24-362M8.1,0.026522091,NA,,,
Hipk4,0.02651845,NA,,,
Snord89,0.026457765,NA,,,
Mpg,0.026453157,0.884459649,,,
Lca5,0.026442558,0.912885558,,,
Cetn4,0.026402382,0.932499764,,,
RP24-174G2.1,0.026397563,0.919510808,,,
Dolk,0.026388132,0.868550312,,,
RP23-90C6.3,0.026387337,NA,,,
RP23-184D18.7,0.026357154,NA,,,
RP23-144N15.11,0.026339017,0.897982355,,,
Spns3,0.026307436,NA,,,
RP23-158C15.6,0.02630126,NA,,,
RP23-16D16.5,0.02630098,NA,,,
mt-Nd6,0.026258592,0.90303244,,,
RP24-84D8.5,0.026245263,NA,,,
Gpr135,0.02621298,NA,,,
RP23-341K9.1,0.026205888,0.83761065,,,
RP23-140E19.3,0.026186869,NA,,,
RP23-178C20.2,0.026159816,NA,,,
RP23-271B15.4,0.026155113,0.931796596,,,
Ythdf3,0.026142443,0.825264605,,,
Hkdc1,0.026139235,NA,,,
Smu1,0.026137234,0.757385299,,,
Pde7b,0.026113561,NA,,,
Fbxo24,0.026107442,NA,,,
Slc35a4,0.026100397,0.83292794,,,
Rsrc1,0.026096179,0.868034121,,,
Mrps34,0.026085561,0.865300247,,,
Alkbh8,0.02605841,0.886749139,,,
RP23-445E3.1,0.026049094,NA,,,
Nars,0.026039641,0.73699608,,,
Plekha7,0.026035975,0.822029385,,,
Atp8b1,0.026002208,0.8686509,,,
RP23-418L5.3,0.025997983,NA,,,
RP24-386D3.6,0.025978106,NA,,,
Rassf7,0.025977223,0.865779743,,,
Rnf40,0.025966553,0.802031016,,,
RP23-372N19.1,0.025954585,NA,,,
RP23-256O22.3,0.025951332,NA,,,
Gm24145,0.025910975,NA,,,
Mcu,0.025909732,0.869959358,,,
Dhx34,0.025850363,0.908979373,,,
RP24-225E14.3,0.025845892,NA,,,
Zfp600,0.025833872,NA,,,
Fer1l4,0.025825633,NA,,,
Cep70,0.025808257,0.900550817,,,
Gm24888,0.025805767,NA,,,
Gp5,0.025801088,NA,,,
Gm24523,0.02579455,0.937983173,,,
Ak7,0.02579003,NA,,,
RP23-151N21.11,0.025781023,NA,,,
Atp5a1,0.02577998,0.716206137,,,
Gpatch1,0.02576918,0.911986245,,,
RP23-32A8.5,0.025729083,NA,,,
Foxred2,0.025700694,NA,,,
Smim7,0.025672445,0.812589765,,,
RP23-284F8.1,0.025620084,0.881502687,,,
RP23-180B18.3,0.025608238,NA,,,
RP23-331L5.1,0.025586581,NA,,,
RP23-4P23.3,0.025573789,NA,,,
RP24-259P13.2,0.02554799,NA,,,
Mecp2,0.02549087,0.89606621,,,
Apoa1,0.025484237,NA,,,
Hs3st5,0.025484237,NA,,,
Oxtr,0.025484237,NA,,,
RP23-422H22.2,0.025484237,NA,,,
RP23-89M15.12,0.025484237,NA,,,
RP24-363O21.3,0.025480089,0.938786898,,,
Prkcdbp,0.025456721,0.871744898,,,
Nus1,0.025455128,0.811398795,,,
Cbfa2t3,0.025451355,NA,,,
RP24-159C12.5,0.025380601,NA,,,
Pcid2,0.025379617,0.867260923,,,
Psmc5,0.025368522,0.802345463,,,
Vapa,0.02535308,0.787559691,,,
Dbi,0.025344046,0.79387208,,,
Bach1,0.025337783,0.808163841,,,
RP23-199B2.8,0.025330021,NA,,,
Flt3l,0.025315636,0.939343637,,,
Lmntd2,0.025300639,0.929450448,,,
Hprt,0.025254703,0.777523523,,,
Ddost,0.02522101,0.803242888,,,
Mbtd1,0.02515613,0.876864533,,,
Apod,0.025121349,NA,,,
RP23-431H12.2,0.025121349,NA,,,
RP23-457C1.3,0.025077477,NA,,,
RP23-89L15.6,0.025077477,NA,,,
RP24-160I3.1,0.025077477,NA,,,
Sh2d1b2,0.025077477,NA,,,
Tll2,0.025077477,NA,,,
AC158898.4,0.025063841,NA,,,
Slc38a9,0.025049983,0.91357494,,,
Tob1,0.025037477,0.888810942,,,
Heatr5a,0.025022966,0.844927361,,,
RP23-314O1.1,0.025010971,NA,,,
RP23-413K6.4,0.024993593,NA,,,
Fap,0.024990636,NA,,,
Trp53bp1,0.024971027,0.798772198,,,
Frrs1,0.024967929,0.859831308,,,
Slc24a5,0.024948112,NA,,,
Dazap1,0.024942292,0.777222199,,,
9330136K24Rik,0.024940507,NA,,,
Cnnm2,0.024893348,0.912411717,,,
RP23-36D15.6,0.02487405,NA,,,
RP23-203A12.2,0.024873205,NA,,,
AC130680.12,0.0248464,NA,,,
RP23-246L14.3,0.024839724,NA,,,
Mpc1,0.024808247,0.932487654,,,
Ofd1,0.024805457,0.895971515,,,
Nfia,0.024797405,0.929174727,,,
Dnah11,0.024760175,NA,,,
Gm26909,0.024760175,NA,,,
Krt87,0.024760175,NA,,,
RP23-13G1.4,0.024760175,NA,,,
RP24-272N10.5,0.024760175,NA,,,
RP24-284M17.1,0.024760175,NA,,,
Papln,0.024759548,0.932991304,,,
Ndufb3,0.024754622,0.858701724,,,
RP24-236J11.2,0.024752584,NA,,,
RP23-266O23.1,0.024727224,NA,,,
Gdpd3,0.024723535,NA,,,
Cldn34c1,0.02469868,NA,,,
RP23-291I12.11,0.024689087,NA,,,
Det1,0.024673439,0.911986245,,,
Crlf2,0.024609417,0.912350309,,,
Nupr1,0.024602726,0.939343637,,,
Nfxl1,0.024578611,0.885643303,,,
Ly6f,0.024563894,0.94003228,,,
Fryl,0.024500548,0.832591523,,,
Rpp25l,0.024462031,0.904893939,,,
RP23-244C22.5,0.024372608,NA,,,
RP24-535F23.1,0.024342755,NA,,,
Rn7s1,0.024342755,NA,,,
Gm23946,0.02433464,NA,,,
Lzic,0.024321155,0.870424103,,,
Pkia,0.024319647,0.912350309,,,
Efr3a,0.024305001,0.805846643,,,
Sprr2e,0.024300609,NA,,,
Lrp2,0.024270681,NA,,,
AC127252.4,0.024266414,NA,,,
Fis1,0.024256971,0.848234627,,,
Gm24004,0.024252329,NA,,,
Gm17430,0.024198062,NA,,,
Fcgr4,0.024108144,NA,,,
RP24-427N13.6,0.0240966,NA,,,
Snord67,0.024095177,NA,,,
RP23-357G5.4,0.024094839,NA,,,
Sgta,0.024056147,0.811754343,,,
Ifi204,0.024047208,0.906422301,,,
Abcc10,0.024027368,0.917215886,,,
Eif2ak4,0.023999009,0.856628194,,,
Rbl2,0.023998925,0.892105863,,,
Gstm7,0.023988945,NA,,,
Psmb8,0.023988945,NA,,,
Nsfl1c,0.023970146,0.837113066,,,
Rpl35a,0.023924764,0.815851759,,,
Cuedc2,0.023913117,0.872515163,,,
4933415A04Rik,0.023849025,NA,,,
Caprin2,0.02384543,0.9269214,,,
Ggt7,0.023843166,NA,,,
Mfsd7c,0.023843166,NA,,,
Slc6a5,0.023843166,NA,,,
Snapc2,0.02383425,0.889359672,,,
AC124604.5,0.023780158,NA,,,
Slc26a8,0.023780158,NA,,,
RP24-500I24.4,0.023738688,0.938952502,,,
Mef2d,0.02372696,0.906807099,,,
Zfml,0.023719985,0.832146863,,,
Uck1,0.023709765,0.883803475,,,
RP23-169H13.6,0.023699263,0.928564907,,,
Pag1,0.023688825,0.943346546,,,
RP23-226O20.8,0.023678566,NA,,,
RP23-246K11.3,0.023667056,NA,,,
Zbtb41,0.023653154,0.845335987,,,
Aftph,0.023646443,0.825874855,,,
Lama2,0.023630402,NA,,,
RP23-14F5.9,0.023630402,NA,,,
RP23-416P14.1,0.023630402,NA,,,
RP23-59N8.3,0.023630402,NA,,,
RP24-93B5.3,0.023630402,NA,,,
Sp3,0.023620998,0.838327356,,,
Dnali1,0.023594682,NA,,,
Sardh,0.023594682,NA,,,
Arrb2,0.023575207,0.918814655,,,
Rhbdl3,0.023511663,NA,,,
RP23-15O6.2,0.023511528,NA,,,
RP23-383A10.6,0.023504941,NA,,,
RP24-151H6.6,0.023503261,NA,,,
RP24-530N5.6,0.023484201,NA,,,
Hist1h2aa,0.023477337,NA,,,
Slc15a3,0.023445217,NA,,,
A730061H03Rik,0.02344047,NA,,,
Ccl9,0.02344047,NA,,,
Mir6947,0.02344047,NA,,,
Ofcc1,0.02344047,NA,,,
RP23-149C6.5,0.02344047,NA,,,
RP23-21G7.4,0.02344047,NA,,,
RP23-77K24.6,0.02344047,NA,,,
RP24-79O7.1,0.02344047,NA,,,
Acvrl1,0.023419216,NA,,,
Mob2,0.023387183,0.865349346,,,
RP23-400N5.1,0.023375769,NA,,,
Cep164,0.023354065,0.843058541,,,
Gm25296,0.023351653,0.941025719,,,
Arhgef28,0.023336046,0.861965929,,,
RP24-253I2.4,0.023333565,NA,,,
RP23-279M5.1,0.023331725,NA,,,
RP23-447P16.3,0.023284294,NA,,,
Dlx1as,0.023257924,NA,,,
Gm22784,0.023257924,NA,,,
Hoxb7,0.023257924,NA,,,
Irgm2,0.023257924,NA,,,
Mir7227,0.023257924,NA,,,
RP23-11O22.12,0.023257924,NA,,,
RP23-293B11.8,0.023257924,NA,,,
RP24-535K22.2,0.023257924,NA,,,
Meiob,0.023240045,0.941544666,,,
RP23-372J10.3,0.023232875,NA,,,
RP23-387C21.5,0.023232875,NA,,,
Rasal1,0.023232875,NA,,,
RP23-451A6.4,0.023225103,NA,,,
Gspt2,0.023220527,NA,,,
Arl10,0.023199735,NA,,,
Pcsk6,0.02316235,0.942564608,,,
AC126042.1,0.023135497,NA,,,
AC140268.2,0.023135497,NA,,,
Gm22481,0.023135497,NA,,,
RP23-371K6.1,0.023135497,NA,,,
RP23-454J20.5,0.023135497,NA,,,
Rcsd1,0.023135497,NA,,,
Slc5a11,0.023135497,NA,,,
Tm4sf4,0.023135497,NA,,,
Anxa9,0.023130984,NA,,,
RP23-399N18.6,0.023127234,NA,,,
RP23-357J7.6,0.023078093,0.916495312,,,
Gabpb1,0.023076848,0.875251504,,,
Tpk1,0.023074441,0.930601266,,,
Ang,0.023043276,0.93533671,,,
Plcd3,0.023014638,0.861965929,,,
Mccc2,0.022948973,0.912350309,,,
Rnu73b,0.02294783,NA,,,
Platr5,0.022895724,NA,,,
RP24-448C16.7,0.022889504,NA,,,
Foxe1,0.022865051,0.945163228,,,
RP24-330A11.11,0.022837904,NA,,,
Wnk3,0.022833284,NA,,,
RP23-402K24.2,0.02281724,0.906242566,,,
B3gnt7,0.022815132,NA,,,
Acsf2,0.0228053,NA,,,
Cerk,0.022804641,0.865915259,,,
RP23-78N8.3,0.022799611,0.907596883,,,
Trim46,0.022795007,NA,,,
Gm26566,0.022770051,NA,,,
Letmd1,0.022766757,0.928062218,,,
RP24-462O14.2,0.022756097,NA,,,
Slc3a2,0.022716377,0.783918643,,,
Chd3os,0.02271068,NA,,,
RP23-456L15.3,0.022701514,NA,,,
RP23-463E8.2,0.022667596,0.942500997,,,
Crx,0.022640035,NA,,,
Mir6960,0.022640035,NA,,,
Emp3,0.022608842,0.928564907,,,
Naf1,0.022565055,0.915347445,,,
Haus2,0.022549106,0.856469365,,,
Dhh,0.02252222,NA,,,
Ccdc92,0.022448911,0.942079763,,,
Acot4,0.022414991,NA,,,
Gm24144,0.022414991,NA,,,
Hpdl,0.022414991,NA,,,
Fbln7,0.022409037,NA,,,
RP23-397K12.1,0.022409037,NA,,,
RP23-5P19.11,0.022409037,NA,,,
n-R5s192,0.022409037,NA,,,
Arg2,0.022394259,NA,,,
Thoc1,0.0223811,0.860086217,,,
RP23-335G1.4,0.022379547,NA,,,
RP24-157P13.4,0.022333999,NA,,,
RP23-4G2.2,0.022325889,NA,,,
Cox17,0.02232059,0.890813451,,,
Adra1d,0.022313801,NA,,,
Gm26384,0.022313801,NA,,,
Gm6133,0.022286437,NA,,,
RP24-192L21.1,0.022279801,NA,,,
Pltp,0.022274337,0.861605195,,,
RP23-27I6.4,0.022267409,NA,,,
Acot1,0.022233405,NA,,,
Cpa2,0.022233405,NA,,,
Dnm3os,0.022233405,NA,,,
Mir30e,0.022233405,NA,,,
Mir709,0.022233405,NA,,,
RP23-174N3.3,0.022233405,NA,,,
RP23-428E5.3,0.022233405,NA,,,
RP24-378J8.3,0.022233405,NA,,,
Slurp2,0.022233405,NA,,,
Zfp709,0.022233405,NA,,,
4930442H23Rik,0.022230299,NA,,,
AC139231.2,0.022230299,NA,,,
Asb2,0.022230299,NA,,,
Gm6741,0.022230299,NA,,,
RP23-243G3.3,0.022230299,NA,,,
Lzts1,0.022186149,NA,,,
Ddx19b,0.022167399,0.882334189,,,
Ube2o,0.022160572,0.837367038,,,
Tbx3os1,0.022133552,NA,,,
Gm340,0.022103235,0.898987669,,,
Lrrc3b,0.022091816,0.947573339,,,
Insl3,0.02208802,NA,,,
RP23-331D17.4,0.02208396,0.935843932,,,
Neurl4,0.022066473,0.872515163,,,
RP24-286C21.1,0.022061384,NA,,,
Rps6kl1,0.022061384,NA,,,
Maea,0.022049044,0.799971858,,,
Enkur,0.022046984,NA,,,
Pnma1,0.022034929,0.947243646,,,
Mir3079,0.0220132,NA,,,
RP24-242F4.3,0.0220132,NA,,,
Gpbar1,0.022007519,NA,,,
Stard6,0.022004255,NA,,,
Ubxn2b,0.021995564,0.916495312,,,
RP23-273G4.2,0.021887501,NA,,,
RP23-466P2.3,0.021887501,NA,,,
Pramef8,0.021834555,0.89856922,,,
Rnf44,0.021828273,0.912350309,,,
RP23-162P10.8,0.021804334,0.947243646,,,
Metap1d,0.021765173,0.904292002,,,
RP23-233B9.7,0.021742894,NA,,,
RP24-396E16.1,0.021735086,NA,,,
Snap91,0.021704654,NA,,,
Gkap1,0.021694149,0.928564907,,,
RP23-214M22.2,0.02168829,0.947573339,,,
Ints3,0.021677546,0.844824184,,,
Gm25595,0.02165353,NA,,,
Mir669h,0.02165353,NA,,,
Ushbp1,0.02165353,NA,,,
RP24-87I22.3,0.021651353,NA,,,
Phykpl,0.021645331,0.903838835,,,
Gm24968,0.021621593,NA,,,
RP24-69M4.4,0.021618833,NA,,,
Snord38a,0.021618833,NA,,,
Larp4b,0.021609526,0.824920356,,,
Hpse,0.021584795,NA,,,
Enpp4,0.021580228,NA,,,
Atpaf2,0.021542858,0.88740553,,,
D2hgdh,0.021524134,0.928564907,,,
RP23-322E23.8,0.021508622,NA,,,
RP24-230J14.8,0.021501934,0.949104252,,,
RP24-302F18.2,0.021496421,NA,,,
RP24-83P13.2,0.021495874,0.948830206,,,
Colgalt1,0.02149546,0.854464503,,,
Wiz,0.021495358,0.928191621,,,
Mob1a,0.021467295,0.790597794,,,
Mmgt1,0.021454984,0.867119921,,,
Dlg2,0.021429978,NA,,,
